iter	R2	RMSE
450	0.6452134752	0.5946606044
455	0.6457778777	0.5941873545
460	0.6461448633	0.5938795152
465	0.6465731556	0.593519944
470	0.6469130511	0.5932346553
475	0.6474175008	0.5928106446
480	0.6478045271	0.5924852801
485	0.6481909747	0.592160066
490	0.6485250709	0.5918787336
495	0.6490550365	0.5914324607
500	0.6494511628	0.5910985313
505	0.6498077535	0.5907979105
510	0.6501839799	0.5904804071
515	0.6504794484	0.5902310052
520	0.650799811	0.5899604025
525	0.6512156992	0.5896089128
530	0.6516352291	0.5892542907
535	0.6520183001	0.5889301341
540	0.6523643604	0.588637349
545	0.6527298017	0.5883277656
550	0.6531139587	0.5880023521
555	0.6533945541	0.5877643659
560	0.6537199365	0.5874885339
565	0.6541081962	0.5871590857
570	0.6544036552	0.5869082171
575	0.6548211189	0.5865535688
580	0.6551983891	0.5862330184
585	0.6555634938	0.5859225529
590	0.655892205	0.5856429682
595	0.6562422242	0.5853449304
600	0.6565823406	0.585055211
605	0.6569699596	0.584725031
610	0.6572504633	0.5844859605
615	0.657558755	0.5842229589
620	0.6579253879	0.5839101446
625	0.6581305973	0.5837350958
630	0.6584424613	0.5834687205
635	0.6587369191	0.5832170446
640	0.6590263006	0.5829697471
645	0.6593933192	0.5826560927
650	0.6597017545	0.5823920695
655	0.6599144836	0.5822099783
660	0.6602474074	0.5819249803
665	0.6605914832	0.5816302891
670	0.6607913175	0.5814589968
675	0.6611431765	0.5811573875
680	0.6613973772	0.5809394193
685	0.6616874579	0.5806903964
690	0.6619439587	0.5804702095
695	0.6621562429	0.5802880472
700	0.6624170646	0.5800639262
705	0.6626763003	0.5798411197
710	0.6628645265	0.5796794452
715	0.6631053962	0.5794723328
720	0.6633355287	0.5792742621
725	0.6635734088	0.5790695581
730	0.6637737523	0.5788971153
735	0.6640126082	0.5786914917
740	0.6642975865	0.5784460514
745	0.6645446376	0.5782331867
750	0.6647971103	0.5780154649
755	0.6650935534	0.5777598668
760	0.6653583701	0.5775314451
765	0.6655880365	0.5773332151
770	0.6658795339	0.5770815943
775	0.6660984136	0.5768924476
